Date,Taxa SELIC,SELIC_daylly,r_SELIC,a,b,c,aloc,k1,k2,r_ef,var_ef,k3
2009-03-16,0.25,1.0000068407910654,0.0003420968851615136,0.013130403670496822,-0.014769137944897415,0.0044306468561193775,[ 0.6   0.05 -0.13  0.48],0.7881496658846965,0.00042188074901447183,0.6000100753316452,0.00029611935973571194,0.714299623058808
2009-03-17,0.25,1.0000068407910654,0.0003420968851615136,0.013641694070766236,-0.015444248086489963,0.004650272469306677,[ 0.6   0.04 -0.13  0.49],0.8166680260341077,0.0004191533890668583,0.6022230634812411,0.0002968589786708736,0.7432842247743662
2009-03-18,0.25,1.0000068407910654,0.0003420968851615136,0.017549212085557164,-0.020041477101805347,0.006025666215337353,[ 0.62  0.02 -0.12  0.48],1.006938008599926,0.0004499065058325076,0.6013377428158077,0.0003198889672072534,0.9304473847726156
2009-03-19,0.25,1.0000068407910654,0.0003420968851615136,0.02133955628961851,-0.024369592569350035,0.007281930419374696,[ 0.64  0.   -0.11  0.47],1.1846841326376951,0.00048123211698632634,0.5976402690148027,0.00033961291578385363,1.1047267912188379
2009-03-20,0.25,1.0000068407910654,0.0003420968851615136,0.02567532489189595,-0.02922053286017419,0.008658902930669357,[ 0.67 -0.   -0.11  0.45],1.3821356502251108,0.0005155457607607902,0.5926730055465215,0.00035942967805956805,1.2982507587813628
2009-03-23,0.25,1.0000068407910654,0.0003420968851615136,0.028633725575468675,-0.03226591546393647,0.00948370997117068,[ 0.71 -0.03 -0.12  0.43],1.442550365787785,0.0005990127726860634,0.587861785741142,0.00041109652547765353,1.3510782815605178
2009-03-24,0.25,1.0000068407910654,0.0003420968851615136,0.03069424217405026,-0.034312122292417056,0.010007645264219451,[ 0.74 -0.03 -0.13  0.41],1.5003423612387126,0.0006458498101396854,0.5833449474120133,0.00043682651122144237,1.40439680101846
2009-03-25,0.25,1.0000068407910654,0.0003420968851615136,0.03294679729695094,-0.03643477471508055,0.010526806251261452,[ 0.76 -0.02 -0.13  0.39],1.5466057038687053,0.000714292763471739,0.577859326574314,0.00047427259255694603,1.4444837664381605
2009-03-26,0.25,1.0000068407910654,0.0003420968851615136,0.03326160966091113,-0.03616327556963243,0.010345105332833638,[ 0.78 -0.01 -0.14  0.37],1.4648480426497674,0.0008364837675539211,0.5721511577875374,0.0005426643490752483,1.3532168609157176
2009-03-27,0.25,1.0000068407910654,0.0003420968851615136,0.03363008683129682,-0.036199365290448156,0.01028500908754754,[ 0.78  0.   -0.14  0.35],1.4421749191413338,0.0008984661504928289,0.5682616182165462,0.0005741694292598475,1.3256513897850608
